account_id,disp_id,client_id,account_id_acct,district_id_bank,stmt_frq,date_acct,type_disp,loan_id,date_loan,amount,duration,payments,status,date_birth,district_id_client,card_id,type_card,min1,max1,mean1,mean6,response,has_card,idade,days_between
10351,12430,12738,10351,23,monthly,1995-05-04,owner,7115,1997-03-04,88704,48,1848.0,C,1960-10-29,23,,,11853.6,9953.6,18891.7448,19977.38913043479,1,0,36,670
10351,12431,12739,10351,23,monthly,1995-05-04,disponent,7115,1997-03-04,88704,48,1848.0,C,1958-01-17,23,,,11853.6,9953.6,18891.7448,19977.38913043479,1,0,39,670
10436,12532,12840,10436,60,monthly,1996-03-21,owner,7136,1996-09-28,54396,36,1511.0,C,1939-07-27,60,,,18196.0,8296.0,27385.44375,800.0,1,0,57,191
4937,5965,5965,4937,12,monthly,1993-02-20,owner,6004,1994-07-23,143904,24,5996.0,A,1951-04-10,50,,,100282.7,96774.9,49212.63181818183,49524.9625,1,0,43,518
675,810,810,675,58,monthly,1995-08-03,owner,5110,1997-04-01,102240,60,1704.0,C,1945-09-24,58,142.0,classic,10438.0,900.0,29672.60504201679,28522.888607594923,1,1,51,607
675,811,811,675,58,monthly,1995-08-03,disponent,5110,1997-04-01,102240,60,1704.0,C,1940-05-28,58,,,10438.0,900.0,29672.60504201679,28522.888607594923,1,0,56,607
9030,10813,11121,9030,72,monthly,1995-01-21,owner,6818,1996-12-12,155616,48,3242.0,C,1971-04-10,72,,,17792.0,73261.2,43766.96909090906,44716.1087301587,1,0,25,691
9030,10814,11122,9030,72,monthly,1995-01-21,disponent,6818,1996-12-12,155616,48,3242.0,C,1979-06-10,72,,,17792.0,73261.2,43766.96909090906,44716.1087301587,1,0,17,691
9583,11486,11794,9583,31,weekly,1994-05-22,owner,6949,1995-12-12,104712,24,4363.0,A,1970-10-07,31,,,116809.2,97532.7,52700.12647058825,41260.86034482761,1,0,25,569
9583,11487,11795,9583,31,weekly,1994-05-22,disponent,6949,1995-12-12,104712,24,4363.0,A,1977-02-23,31,,,116809.2,97532.7,52700.12647058825,41260.86034482761,1,0,18,569
